space,identifier,input_sha256,target,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,prediction,batch_seed
ENAS,ENAS_3995,2540678087c597a186f5311b670fb79db85f354ce6554b79864a043f141fb0c4,93.87,93.28,93.19000000000001,94.46,93.14,93.35000000000001,90.9,94.58600000000001,93.80000000000001,93.315,100119
ENAS,ENAS_4732,87126499df8f74fb356ea8a179d82d4659e573c84406823193f8e1dc144f441d,91.94,91.43900000000001,94.71000000000001,93.93,93.3,94.5,91.99,90.35,92.5,92.9,100156
ENAS,ENAS_4099,14ca945a1df36dd5e26debcf096764c1b72febcfac6c0e06df3a5dd12013a7c0,92.04,93.99,90.99000000000001,91.56,90.691,91.12,93.21,91.7,93.08,91.63,100088
ENAS,ENAS_2461,f45585a270cdc6ff5ec267c1742698cdd70c9711e3ff235b101c7e4a440eed11,92.91,92.92999999999999,94.2,92.434,92.72999999999999,92.82,91.46000000000001,93.44,92.73899999999999,92.77949999999998,100149
ENAS,ENAS_1512,f2eeabd8736cbed9962554b4aad184db6da42a0152e81ac5d2e8b9d2fa229351,93.06,92.69,94.65199999999999,94.38000000000001,91.0,92.69999999999999,92.97,93.08999999999999,93.67000000000002,93.03,100117
ENAS,ENAS_2075,c79754ede1c914a4ab278da7fa9e9ac67dbcffdf405fa78a0fb91788b2f03387,91.62,92.44999999999999,92.37,94.46,91.66,93.42,94.94,93.74000000000001,92.10000000000001,92.935,100134
ENAS,ENAS_168,21d0dd11109a100394d6915bacdcce7cc2a7aa10d8d0aa5d92cd76e8dfbd61fd,94.11,90.85000000000001,93.08,92.62,94.07,92.47,93.57,91.8,93.65,92.85,100066
ENAS,ENAS_3744,be9d5adece236a6f437f4ae2e498b7222e5b6cc2c54a41cb399285b307c5ba52,94.49,91.936,92.44999999999999,92.0,93.25,93.02,93.681,93.27,92.25,92.73499999999999,100105
ENAS,ENAS_4958,f11c1eb2404b9ade8371b95372e903e643d5bf521b972f87452a0a0e69aec465,94.33,93.156,92.10000000000001,91.07,93.31,91.19,93.29,92.06,92.30000000000001,92.20000000000002,100128
ENAS,ENAS_3862,3ab004d6cc3aa08d360ec2b84d635ef4e7058152f698bc98e49af4bec01eb52f,91.57,93.22,92.57,92.57999999999998,93.56,92.42000000000002,92.91,90.81,94.22,92.74499999999999,100073
ENAS,ENAS_3414,9360019030ca604cba774464e8b6aacb69e0b1d7c638e65f9c1f44cb7fff5a97,91.48,94.14,93.05999999999999,92.57,94.05,92.89999999999999,92.77,90.28999999999999,93.30799999999999,92.97999999999999,100110
ENAS,ENAS_4789,59d4f1f3fcaf571042b3ce88a8f43aaa46b99c729833d18ec6bf81552849ae20,91.75,92.31,93.22,93.05999999999999,92.57999999999998,94.5,93.9,92.74,93.88999999999999,93.13999999999999,100164
ENAS,ENAS_1385,4cbba0f5dd3529ffbc3165bd6e5c07b9d25c299ee760729ce1924918c0cab9ea,94.36,93.11999999999999,94.39,91.1,92.082,92.69,93.82,93.834,91.89999999999999,92.905,100147
ENAS,ENAS_3519,4f4902bb691334b450ffd5b2197ac32141a12b256c3d96e80e4c8e9f9c3f5a67,93.47,90.51,93.08,93.68,92.536,92.57999999999998,93.43,93.78,94.13,93.255,100131
ENAS,ENAS_1353,b13d4a8c2d0b4928ecda471e1bd75c22a0ffff6573792a10ccc339ce1b864022,91.06,72.688,85.75200000000001,87.41,85.03399999999999,70.884,87.28,89.60000000000001,85.381,85.5665,100043
ENAS,ENAS_1469,50812ce92983cd196fbf82e4444c20b6ba19475c229f4f4601c1e81de024a61c,94.56,91.28,93.53,92.26,90.74,94.08,91.12,93.33,91.8,92.03,100119
ENAS,ENAS_2618,4f8647253088e5ac07a1dc4f7b7b3282cf0a7239779fef5d68d97b6a34c4d0d2,93.6,93.3,93.14999999999999,94.57000000000001,91.75,93.05,91.28,92.43,94.71000000000001,93.1,100121
ENAS,ENAS_2360,2a15ba468ea0523e63e5eb3e98aea9e2495831007b2821f36b4d48d7c422b194,92.88,94.42,92.07000000000001,92.39000000000001,94.22,92.86,92.01,92.57999999999998,93.9,92.72,100132
ENAS,ENAS_1983,93e96f6ec6a9d8b322ed0e273fa4e2a3b3693a6b6f1a89b293bf3932550a53ff,92.07,94.00999999999999,94.39,93.81,92.59,94.1,92.47,92.78,92.89999999999999,93.35499999999999,100126
ENAS,ENAS_4264,3666c80a9ad80944a51e5f7ea9e79cb649deeacef648c2acf8fafd3496989977,91.95,93.68,91.64,93.05999999999999,91.16,92.71000000000001,91.081,93.737,91.0,92.17500000000001,100062
ENAS,ENAS_731,90390f159e7cb2f3b2122155ce386a03ecd25bc328884e3ffc999f7e9961ad3c,93.0,94.33999999999999,90.33,94.9,92.78999999999999,92.6,93.66,92.97,93.691,93.315,100090
ENAS,ENAS_176,c70c864b9b43c135f2736f1658b95a05effcf3a5095e52b5de83af87b329eeb4,93.9,94.13600000000001,92.60999999999999,94.91,92.8,92.35,94.62,92.91,92.30000000000001,92.85499999999999,100114
ENAS,ENAS_421,4960dc6fd7d84a18e8e55dd09f5b129071c471b2b17c828913f9c521fab70324,92.99,88.59,86.629,95.52,0.9942,91.114,97.902,92.228,0.08,89.852,100047
ENAS,ENAS_3729,46771442eb24597caf21274a82b9a955c64e227a4fb11c98590728e38842cde5,92.99,92.78999999999999,93.37,92.60999999999999,93.07000000000001,91.66,94.14,93.38,91.6,92.93,100134
