space,identifier,input_sha256,target,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,prediction,batch_seed
NASBench101,NASBench101_420154,e332ed80a972fb7b2a09543293de63ed4aa73e6e2d3aa93fa0844a2c0e57befa,93.25921535491943,89.44699999999999,90.863,89.922,90.838,89.714,90.40599999999999,88.77000000000001,91.72800000000001,90.16399999999999,167
NASBench101,NASBench101_89837,12d31240b4c0b9640e7abd7922946f2a9c7aabeb5043eb830e97f6acfb3fc08d,92.93870329856873,90.529,90.95100000000001,87.87,87.461,83.684,90.76,87.82,89.035,88.4525,139
NASBench101,NASBench101_342647,865daa403ea5f2fbc4c8d420a7266319c83da7165f93d005eb9c5965429d7ef5,93.41946840286255,89.762,89.931,85.292,87.83500000000001,90.643,86.73400000000001,85.632,90.155,88.7985,134
NASBench101,NASBench101_302185,1b1fb0413c2af38634c222a8c424bf6e142a75fa4b6d3ea7b996f2c4c88f208c,92.51803159713745,88.454,87.77,88.742,87.438,88.19200000000001,90.175,89.17500000000001,90.516,88.598,116
NASBench101,NASBench101_180542,91e0f1993a853577f9b5da4c40a12815d91951a07df75ed43139dbac1aa5d273,86.87900900840759,87.394,8.2973,97.083,87.561,85.751,78.184,89.27099999999999,79.702,86.5725,42
NASBench101,NASBench101_273086,f785a498781ae649584f1854f494477b052e2da0d76b87fc8d97277a32a70c1e,90.13421535491943,89.748,78.685,87.462,84.534,88.631,88.378,86.588,86.97,87.21600000000001,49
NASBench101,NASBench101_167975,7870f2115c80ec70cfab22b3a2c337b15748097e389b8280802af386b69394d2,92.00721383094788,92.31700000000001,85.954,90.32,86.434,88.80499999999999,87.342,90.25800000000001,86.49900000000001,88.0735,151
NASBench101,NASBench101_72813,2c4ce8de03ded0feb45cdbf0e6b47505ea41e85eec91f947447ee35711c5c9f2,91.3161039352417,87.42800000000001,85.936,83.485,86.631,89.054,87.15400000000001,91.72800000000001,83.82999999999998,86.89250000000001,127
NASBench101,NASBench101_384659,cd69e72eff02fbff45f2069a8e213fcbe91acc0f9e34e1230e0f6b47bcf6f237,89.01242017745972,89.042,87.881,87.732,89.16,81.037,85.09700000000001,85.831,89.384,87.8065,130
NASBench101,NASBench101_398476,5d95e2fc2c61e5dab0ad87329aebbffcb0807f5995af4f3286a34916ed4641f1,89.76362347602844,73.67,80.549,92.774,88.211,85.898,86.018,87.00200000000001,89.298,86.51,57
NASBench101,NASBench101_208651,9fb5de5ec74958134db2c795c5da33fb33c86044cd4a6fc45949e688a7d4d649,91.1057710647583,86.00300000000001,88.395,90.37800000000001,85.621,93.20499999999998,86.31,89.741,88.32499999999999,88.35999999999999,160
NASBench101,NASBench101_368083,edebad1519f9a247550b15a956e9343ec9e7e5455295d2ccb21adab394f01443,90.76522588729858,88.855,89.298,88.78500000000001,85.459,89.251,88.45,89.81,87.75399999999999,88.82000000000001,79
NASBench101,NASBench101_141157,36afe5f71bfc3f4b11dbce7604b5a157f2d460c5b3a6c475119bbfee43bafe91,89.67347741127014,85.95700000000001,89.538,90.649,84.317,86.356,89.506,87.371,86.67699999999999,87.024,73
NASBench101,NASBench101_94963,e0b375dc1021fe316cc8162559c53635660f2d93a6f6b07c7f445ae1c68c0d3b,92.13742017745972,89.711,86.438,90.93400000000001,89.91300000000001,87.92299999999999,89.497,90.79499999999999,89.127,89.604,157
NASBench101,NASBench101_406685,25e6e69d39c76d7cc72334548a1bb515ea7444f730793549c11aeba2c8f6ec4f,92.25761294364929,88.208,89.47200000000001,87.35900000000001,89.80600000000001,81.19,81.418,85.34,87.83200000000001,87.59550000000002,126
NASBench101,NASBench101_308108,c01e78723c653dbc38e65261114fcc661e6e496f22cc0152c254326b3ce1b077,89.70352411270142,88.88,89.345,88.634,86.365,88.461,86.172,88.27799999999999,88.41300000000001,88.43700000000001,75
NASBench101,NASBench101_141654,7080b6744f8a772ebe9427605b06c490b248609658fed0f5f800b2dd0c7478e8,92.33773946762085,77.191,88.35900000000001,89.53900000000002,84.583,81.263,86.019,85.34599999999999,87.46000000000001,85.6825,58
NASBench101,NASBench101_122870,5e4227bfd43b3844d38008acfdd3ef59c386382119eb73a12d96b79dcba51a82,90.60496687889099,90.03500000000001,85.27,88.85199999999999,84.30199999999999,85.06299999999999,75.289,82.911,71.841,84.68249999999999,60
NASBench101,NASBench101_299289,a405d50c5a7449ba6492b186a1de32677b0ec6f54cf43d201347701c4d8f6e5f,90.86538553237915,86.117,88.19000000000001,90.613,83.239,90.625,84.445,88.43199999999999,89.587,88.311,68
NASBench101,NASBench101_370165,499a53dcc90da2adff468f3fb5cf178c9ad760a514a778cb2f5279b1d34a4d6e,89.11257982254028,92.308,89.51700000000001,89.454,91.57600000000001,89.061,89.182,88.574,90.138,89.4855,162
NASBench101,NASBench101_335999,1226f61f9f960f6c26d92479051317dbb6f3d0358409e2b50b9945afc44160a7,91.76682829856873,91.52900000000001,85.432,88.675,87.885,89.81299999999999,89.132,86.828,87.421,88.28,143
NASBench101,NASBench101_141288,fd3521abab9a2090da6cc2050bcaba9573ca7b314626c054eb7498be422a48e5,93.58974099159241,88.52199999999999,87.339,86.20100000000001,90.761,89.439,86.532,92.952,90.762,88.98049999999999,161
NASBench101,NASBench101_213733,b95761c80e2efa806a97dfa119338976c3591a4d27b3dd827ac36470bec28236,88.66186141967773,86.857,89.44200000000001,89.112,87.13,83.253,88.033,85.18100000000001,81.034,86.9935,134
NASBench101,NASBench101_179183,c933d4d3723bdc915868e0c1df539253de9113edff439c2f6adfa0e62cf0cbc8,92.30769276618958,77.068,86.027,86.601,87.65700000000001,86.34299999999999,88.52000000000001,85.031,88.846,86.472,57
NASBench101,NASBench101_407889,12ec5ee94b28aa2f2da4a526116c4628a9bed7c9279d131a73b4757f110b2675,91.27604365348816,86.021,88.28099999999999,86.864,88.35300000000001,90.858,85.418,85.09299999999999,86.12,86.492,131
NASBench101,NASBench101_73760,e3c20fc8727354b3a24c6fb24fd90ed0677d24b28674ef20c369ef41a23b4b55,85.87740659713745,87.414,88.25699999999999,84.32600000000001,86.184,89.872,87.843,88.626,78.744,87.6285,132
NASBench101,NASBench101_209439,c08a6ccb22211900e75b8c75d808c55dcbdb781b00eb8cccc8c7a0b37fcaf4da,88.75200152397156,87.01499999999999,90.085,86.991,87.763,89.452,85.743,89.803,89.72099999999999,88.6075,93
NASBench101,NASBench101_183170,d5dd4500e9babcf9a8d2b7e40ea57987ec7dd9b151586ecfbcf07af5da8901a4,92.39783883094788,88.836,90.69800000000001,88.802,92.03,87.523,90.75,85.443,88.696,88.819,158
NASBench101,NASBench101_28009,9d997f67c86679fd3288699694b2c184ff416b1a74b7d616b9aa7c7707a6126a,81.28004670143127,86.74,86.61500000000001,89.368,87.356,84.05900000000001,89.14500000000001,85.473,80.18100000000001,86.67750000000001,95
NASBench101,NASBench101_290210,47f993f2365b28b5b276b7a2b97eb0c66eb7783917afed9ae69b5e7af83e8bb2,91.29607081413269,88.463,84.591,84.95100000000001,89.795,90.85300000000001,88.93599999999999,90.97099999999999,87.198,88.6995,77
NASBench101,NASBench101_33869,00c210501df582cd6f66a02628344f2963c31cdd3274c30a87d6608dc865166f,86.75881624221802,86.01100000000001,87.485,81.70299999999999,84.51,85.743,85.898,84.991,71.852,85.36699999999999,74
NASBench101,NASBench101_306496,3798d6c4cafd49fe7ebd3098b7d5ec96ccb7b43489eb8cd7ed9bf142d1783887,93.17908883094788,88.57300000000001,86.631,88.184,89.739,90.07300000000001,88.83200000000001,90.128,88.057,88.70250000000001,150
NASBench101,NASBench101_146779,6b4d2139f417f9d64f8d720fd90020f4c8ba6672cbb6228805f8f99633d4f38f,92.74839758872986,85.38399999999999,82.20599999999999,89.317,85.763,87.932,87.219,84.002,90.881,86.491,83
NASBench101,NASBench101_75633,30184a25d33deb4fa23a40768df6d1ed2e26bb715062e9d3fd1fba16382bfdac,93.62980723381042,89.527,86.573,92.097,92.33599999999998,89.80600000000001,84.745,87.523,89.314,89.4205,134
NASBench101,NASBench101_413740,3a07b2bd098331ea9ae8c1ea63c0473d4c564adbf05a6307ce3c8d069a13f7a0,91.8870210647583,84.399,88.582,82.96900000000001,91.53999999999999,88.765,90.49099999999999,85.557,85.529,87.0695,46
NASBench101,NASBench101_240772,f637305773d68b18bf6b4f9a6cd78181d22a258b88619176d65bb776f1d3e374,93.81009340286255,86.753,90.905,88.234,86.379,89.841,91.56,89.129,85.95599999999999,88.6815,88
NASBench101,NASBench101_128943,e3dfbd43e109c18253c35c49a8f87f800c648c0e98771da64fb426f917840d89,89.64343070983887,86.03300000000002,84.072,79.19500000000001,9.7481,89.824,85.516,88.064,0.0977,84.79400000000001,52
NASBench101,NASBench101_414567,c533b1f68057f49e989a393e34b3ebbad2e10bac98750bfd73912de7a0c30984,93.51963400840759,88.447,87.41799999999999,89.842,91.356,89.94300000000001,90.125,89.82300000000001,87.838,89.83250000000001,135
NASBench101,NASBench101_82224,fa1e324d4c775e04e9a7ead92f47944567787af710df1eecff09e0089112a6b9,9.50520858168602,0.5127,70.618,70.77,85.146,86.03099999999999,89.17699999999999,88.987,88.91199999999999,85.5885,42
NASBench101,NASBench101_349649,5f8ecc5b64987d123277ce0a59b2a1a542640e7ad846ff375974500c59ad367b,90.94551205635071,90.95599999999999,90.429,85.81899999999999,89.72099999999999,85.711,86.00300000000001,87.561,82.59100000000001,86.78200000000001,140
NASBench101,NASBench101_163438,caea13a3b37d90d18152b0a53b7bebb6a8559845e37cd2672084e47430d97c5d,91.93710088729858,85.734,88.90299999999999,85.40100000000001,85.75900000000001,91.192,86.012,83.635,90.774,85.88550000000001,108
NASBench101,NASBench101_106224,96d709f0b8c7e53f2b485a6c770447695a701b2292e07fd8b7eb0c028388fa28,87.95071840286255,79.07,85.053,86.189,83.26499999999999,88.027,88.918,81.964,86.26400000000001,85.621,73
NASBench101,NASBench101_199247,3c8a1e455e0a7fd9162d16cf7ee4023dbd945376e7a9d7391b2c37d8f25057cf,90.35456776618958,86.975,90.221,90.39099999999999,85.451,81.95700000000001,81.997,89.351,86.125,86.55,124
NASBench101,NASBench101_221094,f514a2fab38221d79e1f9ed09b9fd8f27e0b3a73e624431530ea527b229aa965,85.15625,84.724,84.354,87.419,0.0959,87.918,87.17399999999999,90.684,8.7048,85.949,50
NASBench101,NASBench101_310405,92eae28c0d6ebc13c117613ef27ace56e5926a7805b4d5e5a48e3a626c0fc2b8,93.54968070983887,90.01400000000001,88.29599999999999,89.055,81.84100000000001,88.619,86.618,86.102,86.012,87.457,169
NASBench101,NASBench101_365063,2eeb6442ca7de33edc36c3fbb467c035cc0b804783b0cb665fda33a7c187edd4,87.54006624221802,90.826,88.219,88.286,81.813,89.34200000000001,86.002,88.448,90.77199999999999,88.36699999999999,154
NASBench101,NASBench101_215670,9cf97a6ee68dfdd2d941684aeaf89715cc5f8d3e6531b0bcf1b8ed7578effac7,91.63661599159241,86.965,89.11699999999999,88.829,89.061,87.332,90.569,83.219,88.92899999999999,88.87899999999999,148
NASBench101,NASBench101_219106,0bb8a4a806e7cd0f627b797893a7d53411356ae6f583c01cfd7c466e390da6b5,89.66346383094788,88.196,80.786,89.373,89.784,89.875,90.355,89.834,88.425,89.5785,56
NASBench101,NASBench101_98894,c4bee404fbdb951d7e354e202d85d26f217ded5b277fa3f0806b7f7c415ea1dc,91.84695482254028,89.85300000000001,92.72,90.509,89.38499999999999,83.26700000000001,88.469,90.362,86.91499999999999,89.619,118
NASBench101,NASBench101_35683,260a9a268474ff87c6381c2228807bd3fa42c5d927b65c65f26ca6b90b64c54d,9.50520858168602,88.46000000000001,70.821,86.577,84.16399999999999,85.854,82.76899999999999,84.565,91.79,85.20949999999999,79
NASBench101,NASBench101_259115,f8ccdef1c45dd334020280c9433ae717cb1805e0a30bc38fa912eb3266332840,92.77844429016113,88.285,87.608,86.579,88.196,87.918,86.18299999999999,90.775,88.264,88.057,154
NASBench101,NASBench101_289626,9e8dc2e2808f2852674ec810067bbd8a28949640cd6e3ad9c84a868c5a2f9647,89.18269276618958,88.474,85.749,85.456,89.221,88.41,90.861,85.953,85.821,87.1815,107
NASBench101,NASBench101_313684,687b433e7b9402af7dd62bdfa9947a87fd6eda97c89e744e768eac399c491504,91.27604365348816,88.166,84.38499999999999,91.229,80.30099999999999,87.434,91.761,90.824,88.033,88.0995,118
NASBench101,NASBench101_175349,1b280492d7f246571efb97c5d937df6ce60ff142f1aa1b02aa0b9cd2af7bd911,90.18429517745972,76.111,87.43,85.21900000000001,89.422,70.366,73.188,80.369,76.319,78.344,49
NASBench101,NASBench101_16870,c6606fefe82b20f07a0635d56b12d3b3628f93480a69c7375bb8e20e207ecff8,87.21955418586731,88.006,88.566,84.146,87.757,77.818,85.821,89.863,0.0052,86.789,55
NASBench101,NASBench101_34741,640dfcbd48e962045ee8594d94efc09243bed361bf48f30057d41fb6328ca9cd,90.15424847602844,89.621,88.001,85.07199999999999,86.44500000000001,89.76,89.30999999999999,86.82499999999999,90.921,88.65549999999999,129
NASBench101,NASBench101_45395,dd9906411b9a1a08f96794c422f7c3216fba84f0e17e862610304a5b1a734f03,92.69831776618958,89.506,87.94600000000001,90.248,85.227,81.256,89.08099999999999,89.85300000000001,92.49000000000001,89.2935,81
NASBench101,NASBench101_386113,7ef0cc675515689e5361d96e08e53521f6bda16a70017b5ade09ead29865db24,92.22756624221802,90.349,85.31599999999999,84.618,89.50200000000001,89.845,91.267,92.446,91.523,90.09700000000001,163
NASBench101,NASBench101_288149,7ecafffae7fde08ab9632792700f180e0462095b50fd706b35e6cd5a907dce0b,93.82011294364929,89.0,89.39999999999999,89.168,90.84899999999999,92.22200000000001,86.96,91.819,88.19200000000001,89.28399999999999,166
NASBench101,NASBench101_171044,a5a98cf9e0046b7e966a47c6c147d679fed5957acdbac157575ee5356ed49091,93.20913553237915,89.445,87.419,89.14500000000001,89.601,88.284,88.45599999999999,86.369,81.726,88.37,78
NASBench101,NASBench101_277914,529a2f1b123f0d69a2e28c40566bb20f91e9ed4ac05da4593fcda94ce10a8bb6,92.07732081413269,90.50800000000001,87.16300000000001,88.134,88.691,86.311,90.08200000000001,87.531,89.60300000000001,88.4125,99
NASBench101,NASBench101_349007,d014f6f0bdb4b7c77c5f54ecd83d95ac57d0e18f353e0988d5fc7f782940cf8c,85.48678159713745,86.853,82.78,86.122,88.537,89.195,86.55699999999999,84.944,85.61500000000001,86.33949999999999,55
NASBench101,NASBench101_123991,110ebeeb98a5792db3bda6479b6d69f443a8740654940103b2a2254f1f7af5cf,91.59655570983887,86.442,85.917,86.653,92.566,89.65299999999999,85.46900000000001,90.753,86.874,86.7635,136
NASBench101,NASBench101_101818,57cf278b74c70507024316c81ff79caab6c76bbf03ec07d607ebf317b2a8f810,92.55809187889099,88.80000000000001,88.367,85.203,87.141,85.871,90.21900000000001,86.781,90.291,87.754,155
NASBench101,NASBench101_116,67e4adc417a54e3c75817669e1dfeea23516ad964ab72683c2c4fc4e0766c5a0,92.81851053237915,87.06400000000001,84.44200000000001,83.879,87.404,89.88300000000001,89.274,89.77199999999999,89.23299999999999,88.3185,113
