space,identifier,input_sha256,target,draw_0,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,prediction,batch_seed
NASNet,NASNet_3582,5aed707f7295ddf1326ad8a47b4c8f68f87df21a0e3da27b09ff52fa44fd35fa,90.31,79.75,74.79,88.22200000000001,76.38499999999999,85.451,73.679,89.536,76.18599999999999,78.0675,200042
NASNet,NASNet_1670,eaa2362b190f7f77327af7d728d0392cd357c1f74704a8e2e79fe922f87dd151,91.19,72.18,85.374,88.254,84.129,86.53399999999999,87.732,71.828,78.521,84.7515,200042
NASNet,NASNet_3697,f15dcd1aed3a0efaa7b731202d6dc3c6da9c1fbae21da29b47d180d34609d4ce,92.09,74.283,68.833,72.958,88.43199999999999,80.262,87.839,77.952,81.31700000000001,79.107,200042
NASNet,NASNet_2841,b49a239a2c2a01d7d0cc34dcd1d21465b773a04ea8d196edd147080651f4b9ae,92.28,87.16900000000001,72.63,86.213,76.287,81.035,78.363,76.12899999999999,86.191,79.699,200042
NASNet,NASNet_2573,035e9d9478033f23c653a93d225865431ee51bb0c4e01a958348a13e8e36e894,92.17,80.939,81.018,65.873,85.71600000000001,84.59199999999998,75.804,85.959,72.639,80.9785,200043
NASNet,NASNet_2550,b64eeef7d6530695161f9107097a99a95275b9d4994027c7521b4228f093929f,91.19,73.791,79.616,9.7,87.95299999999999,75.549,86.314,85.76,88.422,82.688,200043
NASNet,NASNet_2687,1081b7481a5f0454f8b4b8d86fba8731d3cb9b1b82d302c8929aaad0868c90f4,90.65,71.58,80.25999999999999,85.03500000000001,84.61399999999999,85.38,76.608,78.018,75.49000000000001,79.139,200043
NASNet,NASNet_2517,2a18cbfd24996d2967d9eec15e4e3a338030140c47b6ec8e21b0823142943f99,90.53,72.61999999999999,82.547,62.711,75.237,78.554,72.14699999999999,86.56,86.227,76.8955,200043
NASNet,NASNet_1091,7228cadd56d5253d476e987e6d29388ba8da3e85e4ab05c6c00afc1f40b3e21c,91.45,88.339,78.03099999999999,72.18,84.433,73.20400000000001,86.107,77.208,82.074,80.0525,200044
NASNet,NASNet_4495,6e7ab89efa9414e40c4ba2bbe6e0b9d595a118d09facb446810929f561a7809b,92.5,86.257,81.876,78.838,77.634,79.47,74.161,85.621,85.422,80.673,200044
NASNet,NASNet_3427,3b5ab1fefc9b63810e62ea069fd7a02e8bf70f6090e755cce4a587df1ca48e0e,90.34,90.53,91.04799999999999,71.94200000000001,71.048,85.362,90.59200000000001,87.949,84.26299999999999,86.65549999999999,200044
NASNet,NASNet_7,8da195a6d1b459810e9c1902c34bc213823bd6456fb266cb84da01e754f81d7c,92.93,84.353,85.69200000000001,87.50500000000001,86.71099999999998,70.691,82.977,83.628,72.051,83.9905,200044
NASNet,NASNet_4781,006c6b82d33c3b928027981b60d7860d2e6bcbf19e103d45327c1f1e0a00d333,93.25,71.609,84.314,72.8,82.127,88.698,85.43799999999999,83.322,85.544,83.818,200045
NASNet,NASNet_1032,49dff80e971eb02c31ac8c0136e47591de878525888bacac9f3858b3b0ca7187,89.98,84.44699999999999,83.211,88.621,88.61000000000001,74.309,77.43,85.625,85.83399999999999,85.036,200045
NASNet,NASNet_2219,ea34d5cddc916932e89327b9b65a0e7be33ce0005de0b3eb70782688c55842d6,90.58,97.417,86.331,88.62299999999999,85.457,88.225,87.855,78.661,82.108,87.093,200045
NASNet,NASNet_4313,fccdb6b8a632e4ba382fa0d039b56370c5389680f83687e94b7b903f35c58719,90.96000000000001,71.241,71.232,88.104,86.78699999999999,84.23400000000001,79.704,74.023,80.257,79.9805,200045
NASNet,NASNet_2436,57c7975d8f0e9f40fbd311a794cb0dc490e16b62f6cce3e604698558cbd4c5b3,92.29,83.273,1.9971,78.937,71.58500000000001,83.191,83.709,88.598,82.03699999999999,82.614,200046
NASNet,NASNet_3475,9f6ed5bed20154bca313cc696a48f00319c03fb76237eae5351848dcffa37f2e,91.28999999999999,77.32000000000001,89.00800000000001,85.714,88.818,85.708,84.30999999999999,82.003,87.47999999999999,85.711,200046
NASNet,NASNet_692,155605690a0005f5c911ebd6717abc6d553e8cd383396161151736d3b0d16589,92.86,72.808,76.812,82.592,90.95,89.78099999999999,84.52,82.149,73.861,82.37049999999999,200046
NASNet,NASNet_1872,0e712bcc71e914eef50a8d5e5c480d5e3c349e00b267534b4e7caf09fa3996e0,92.3,71.03399999999999,82.91600000000001,72.119,85.145,71.45400000000001,71.897,88.29599999999999,71.52,72.00800000000001,200046
NASNet,NASNet_2456,3db439498a5acbfb86db42ac864d127fe41049e1513dc140954d02eb41247c27,92.87,87.19099999999999,85.37800000000001,85.603,89.572,85.362,90.08200000000001,71.978,85.382,85.4925,200047
NASNet,NASNet_4797,513347ca838a5763e9653acfc069f06a4d7354513eaf44252e149a655bd19a3c,92.73,71.36999999999999,70.115,79.646,97.94399999999999,87.833,84.591,75.018,87.448,82.1185,200047
NASNet,NASNet_1428,de6f93f6b33a6beaac27d70fd3ee187956a5e6a515f3649eeabaabf54cffb94a,91.3,81.864,92.491,83.352,86.05600000000001,83.776,84.544,77.235,72.115,83.564,200047
NASNet,NASNet_2884,0cb838142b5aae36c419c3addc7640d81bb81f1d78dfc275caf62779634cfebe,92.98,75.218,76.352,80.46099999999998,71.086,81.381,86.92500000000001,85.49,83.761,80.92099999999999,200047
NASNet,NASNet_4576,ffa5cef574d2d78661b1c22f68db31ea8ab06faaf407455b6c8d712899e16d1b,92.21,85.783,73.75200000000001,77.126,86.25999999999999,72.806,87.014,76.0,89.697,81.4545,200048
NASNet,NASNet_355,8856a740ebaedbf29dba2c2501687ce775190017f661241cfb2199028711bbf3,90.87,87.41,85.69200000000001,74.385,74.996,85.81200000000001,71.378,84.59,80.192,82.39099999999999,200048
NASNet,NASNet_1786,09261891f9cfd2695bab388bc596e5ec7868981321a2f4f084d580d4f0ec729e,92.47,76.762,71.935,71.357,84.396,88.827,73.271,86.847,84.491,80.57900000000001,200048
NASNet,NASNet_4790,6cf13c400f647c59be1a41db913047cc3bed27a3268105be973862ccaf19c505,91.11,84.379,87.04,82.72800000000001,78.434,84.96000000000001,87.56,76.118,77.413,83.55350000000001,200048
NASNet,NASNet_3193,25f00c056f7fc3f0b8c7e6e3227d904d5d4258be7c3e2c37ff7281fe1ce10bbf,91.53999999999999,79.6,89.748,85.061,84.436,86.11000000000001,77.37899999999999,87.644,75.494,84.7485,200049
NASNet,NASNet_1765,9dbc99d3d19925b6db57dc9e490050dee1e64aebc806c597b1090d1dbc4b874e,92.4,85.452,80.97,82.117,88.184,91.646,88.566,79.17699999999999,88.24600000000001,86.818,200049
NASNet,NASNet_1772,b568d02561f5c152c7c283f3369384655e198362a3309d22f606f04accc163bf,93.11,97.977,94.662,89.054,81.857,85.33099999999999,73.289,91.072,84.583,87.1925,200049
