language,y_true,y_pred
C++,256.0,256.0
C++,3636.0,3614.0
C++,384.0,256.0
C++,896.0,960.0
C++,423744.0,11144.0
C++,256.0,256.0
C++,3160.0,12694.0
C++,1676.0,3178.0
C++,256.0,256.0
C++,256.0,256.0
C++,3148.0,5098.0
C++,1024.0,4544.0
C++,256.0,1910.0
C++,3604.0,256.0
C++,256.0,256.0
C++,35468.0,448.0
C++,3640.0,3384.0
C++,3636.0,256.0
C++,51296.0,14128.0
C++,256.0,256.0
C++,256.0,1216.0
C++,256.0,256.0
C++,6428.0,2368.0
C++,3640.0,256.0
C++,1948.0,320.0
Python,2940.0,2940.0
Python,3064.0,3126.0
Python,2940.0,6050.0
Python,98148.0,48308.0
Python,38256.0,19424.0
Python,74216.0,9046.0
Python,61624.0,3062.0
Python,2940.0,3000.0
Python,2940.0,6048.0
Python,9028.0,3002.0
Python,3064.0,2940.0
Python,9160.0,2940.0
Python,3064.0,9146.0
Python,21856.0,23942.0
Python,2940.0,3002.0
Python,5580.0,5582.0
Python,2940.0,2940.0
Python,61492.0,5952.0
Python,2940.0,2940.0
Python,38256.0,4392.0
Python,2940.0,2940.0
Python,7324.0,7252.0
Python,64352.0,2568.0
Python,9152.0,2940.0
Python,2940.0,2940.0
Java,35676.0,23418.0
Java,24508.0,24390.0
Java,23508.0,39668.0
Java,21972.0,27982.0
Java,142340.0,42104.0
Java,26288.0,26186.0
Java,24020.0,23828.0
Java,48760.0,62098.0
Java,27348.0,26360.0
Java,26868.0,31620.0
Java,23252.0,23858.0
Java,128468.0,116945.0
Java,62924.0,23894.0
Java,22996.0,61974.0
Java,97232.0,71770.0
Java,26524.0,26344.0
Java,32944.0,51442.0
Java,27604.0,22422.0
Java,22736.0,21780.0
Java,22996.0,23510.0
Java,90384.0,36038.0
Java,35568.0,22652.0
Java,25172.0,26974.0
Java,35996.0,24666.0
Java,97712.0,105698.0
C,4852.0,2304.0
C,256.0,832.0
C,128.0,2040.0
C,2112.0,2050.0
